Product_ID,Category,Product_Name,Brand,Price,Cost,Units_Sold,SKU,Shelf_Space,Customer_Ratings,Frequency_of_Purchase,Sales,Gross_Margin,Total_Customers,Total_Transactions
P01186,Bakery,Product 1186,Brand B,26.63,9.87,3473,33,3.41,3.1,15,92485.99,58207.48,3448,3473
P01187,Frozen,Product 1187,Brand D,6.45,22.3,4174,16,0.8,4.0,44,26922.3,-66157.9,3869,4174
P01188,Bakery,Product 1188,Brand D,29.59,10.08,4971,70,4.96,3.6,62,147091.89,96984.21,1018,1106
P01189,Snacks,Product 1189,Brand D,36.02,31.67,2823,92,4.96,3.9,77,101684.46,12280.05,2079,2199
P01190,Dairy,Product 1190,Brand C,36.58,10.69,2140,45,2.59,4.0,51,78281.2,55404.6,476,701
P01191,Produce,Product 1191,Brand D,29.7,24.73,2851,36,3.41,3.6,13,84674.7,14169.47,1350,1486
P01192,Frozen,Product 1192,Brand B,49.35,1.64,1547,38,1.54,2.9,69,76344.45,73807.37,1296,1547
P01193,Beverages,Product 1193,Brand C,13.26,14.65,2182,96,4.76,2.9,54,28933.32,-3032.98,1770,2182
P01194,Bakery,Product 1194,Brand D,3.11,7.89,3451,29,1.37,3.1,81,10732.61,-16495.78,3240,3451
P01195,Bakery,Product 1195,Brand A,27.74,39.87,3834,79,4.59,4.9,84,106355.16,-46506.42,3452,3834
P01196,Dairy,Product 1196,Brand D,5.96,8.91,4879,85,2.23,2.9,75,29078.84,-14393.05,3010,3021
P01197,Snacks,Product 1197,Brand E,37.78,17.02,1935,85,3.02,4.7,91,73104.3,40170.6,1456,1895
P01198,Snacks,Product 1198,Brand C,35.48,20.8,1876,12,4.59,2.9,91,66560.48,27539.68,1866,1876
P01199,Bakery,Product 1199,Brand B,44.88,11.76,2306,48,4.47,3.5,31,103493.28,76374.72,1465,1780
P01200,Snacks,Product 1200,Brand E,10.59,13.49,2529,92,4.09,4.7,21,26782.11,-7334.1,2464,2529
P01201,Produce,Product 1201,Brand E,32.23,13.22,4465,54,0.52,3.1,90,143906.95,84879.65,4076,4465
P01202,Produce,Product 1202,Brand C,41.27,15.07,4259,77,3.51,4.9,60,175768.93,111585.8,3941,4021
P01203,Dairy,Product 1203,Brand C,39.08,20.71,3812,40,4.2,4.0,26,148972.96,70026.44,3344,3812
P01204,Snacks,Product 1204,Brand D,44.67,19.01,1047,47,2.63,4.9,45,46769.49,26866.02,643,1047
P01205,Frozen,Product 1205,Brand C,39.69,10.08,3463,15,2.4,4.9,58,137446.47,102539.43,3371,3463
P01206,Snacks,Product 1206,Brand D,4.57,33.61,3896,17,0.7,4.1,25,17804.72,-113139.84,3763,3896
P01207,Dairy,Product 1207,Brand A,29.7,17.3,2322,37,2.95,4.6,84,68963.4,28792.8,875,987
P01208,Bakery,Product 1208,Brand C,25.76,11.71,2032,24,1.97,4.3,53,52344.32,28549.6,1720,1915
P01209,Snacks,Product 1209,Brand A,14.72,8.85,4826,17,2.0,3.3,31,71038.72,28328.62,4412,4826
P01210,Frozen,Product 1210,Brand E,8.98,24.43,3774,63,2.0,2.9,17,33890.52,-58308.3,631,718
P01211,Bakery,Product 1211,Brand B,4.62,17.02,4806,15,0.54,4.9,27,22203.72,-59594.4,4644,4806
P01212,Dairy,Product 1212,Brand C,19.37,19.51,2805,38,0.76,3.8,89,54332.85,-392.7,988,1357
P01213,Beverages,Product 1213,Brand D,25.76,7.68,3784,43,4.6,2.9,93,97475.84,68414.72,2013,2387
P01214,Beverages,Product 1214,Brand D,22.51,2.55,4504,16,0.99,4.0,81,101385.04,89899.84,4156,4504
P01215,Beverages,Product 1215,Brand E,5.94,37.82,4559,49,1.84,4.3,47,27080.46,-145340.92,492,493
P01216,Snacks,Product 1216,Brand A,5.47,17.55,4370,83,3.65,4.0,38,23903.9,-52789.6,1721,2089
P01217,Dairy,Product 1217,Brand D,49.31,25.81,3968,22,2.71,4.5,86,195662.08,93248.0,3557,3968
P01218,Bakery,Product 1218,Brand A,4.4,7.31,4766,71,2.01,4.0,90,20970.4,-13869.06,2463,2582
P01219,Dairy,Product 1219,Brand D,27.27,31.45,2670,95,3.48,3.0,90,72810.9,-11160.6,1448,1824
P01220,Snacks,Product 1220,Brand D,23.72,38.19,3214,94,0.52,4.0,82,76236.08,-46506.58,2960,3214
P01221,Produce,Product 1221,Brand D,36.58,13.22,2018,74,0.99,3.3,11,73818.44,47140.48,417,608
P01222,Dairy,Product 1222,Brand E,32.23,24.43,4864,50,4.12,5.0,68,156766.72,37939.2,4574,4864
P01223,Bakery,Product 1223,Brand B,47.57,15.99,2881,51,4.33,3.9,51,137049.17,90981.98,804,1155
P01224,Produce,Product 1224,Brand D,32.23,34.56,4159,75,1.72,3.9,97,134044.57,-9690.47,3871,4159
P01225,Dairy,Product 1225,Brand D,16.68,38.81,1257,20,2.51,2.6,30,20966.76,-27817.41,1141,1257
P01226,Snacks,Product 1226,Brand C,17.1,34.06,3173,59,4.92,4.6,11,54258.3,-53814.08,2974,3173
P01227,Dairy,Product 1227,Brand B,41.27,3.73,4579,80,2.4,3.7,14,188975.33,171895.66,4344,4579
P01228,Beverages,Product 1228,Brand A,49.53,24.92,4983,44,4.44,4.9,26,246807.99,122631.63,4753,4983
P01229,Produce,Product 1229,Brand B,49.32,11.14,4809,89,4.08,2.5,33,237179.88,183607.62,2609,2835
P01230,Bakery,Product 1230,Brand C,17.7,36.21,4536,88,2.51,4.0,17,80287.2,-83961.36,4106,4536
P01231,Bakery,Product 1231,Brand A,27.91,33.76,4106,29,0.88,3.8,39,114598.46,-24020.1,3910,4106
P01232,Snacks,Product 1232,Brand C,49.53,39.21,3591,37,0.67,4.5,59,177862.23,37059.12,3124,3591
P01233,Bakery,Product 1233,Brand A,37.56,16.16,5331,46,3.15,4.0,31,200232.36,114083.4,4890,5331
P01234,Bakery,Product 1234,Brand E,49.66,32.99,5020,12,2.23,4.9,68,249293.2,83683.4,4742,5020
P01235,Snacks,Product 1235,Brand B,3.0,14.26,4426,68,2.55,4.9,33,13278.0,-49836.76,2227,2384
P01236,Beverages,Product 1236,Brand C,16.63,21.22,5195,82,3.4,3.9,35,86392.85,-23845.05,4713,5195
P01237,Produce,Product 1237,Brand A,26.63,39.5,3203,36,0.99,4.9,70,85295.89,-41222.61,2849,3203
P01238,Produce,Product 1238,Brand B,29.59,11.5,857,41,1.78,2.7,17,25358.63,15503.13,343,644
P01239,Beverages,Product 1239,Brand E,27.27,38.01,2445,57,3.87,4.5,21,66675.15,-26259.3,108,281
P01240,Bakery,Product 1240,Brand A,48.75,10.27,4574,55,2.32,4.2,23,222982.5,176007.52,3754,4077
P01241,Frozen,Product 1241,Brand D,18.44,9.99,2814,56,0.84,3.9,39,51890.16,23778.3,2793,2814
P01242,Bakery,Product 1242,Brand D,40.53,21.22,2499,99,1.02,3.6,64,101284.47,48255.69,1423,1909
P01243,Bakery,Product 1243,Brand B,32.48,25.3,4810,49,2.83,3.1,70,156228.8,34535.8,2396,2801
P01244,Produce,Product 1244,Brand B,32.12,24.44,4895,12,4.41,3.6,71,157227.4,37593.6,2470,2658
P01245,Dairy,Product 1245,Brand E,31.82,37.34,3546,84,2.66,4.6,40,112833.72,-19573.92,2703,3168
P01246,Produce,Product 1246,Brand D,45.16,3.93,3918,38,3.37,4.3,36,176936.88,161539.14,3633,3918
P01247,Produce,Product 1247,Brand A,5.16,32.64,4079,67,4.09,4.3,10,21047.64,-112090.92,492,781
P01248,Bakery,Product 1248,Brand E,21.04,38.02,4782,59,0.88,4.3,50,100613.28,-81198.36,1351,1518
P01249,Snacks,Product 1249,Brand D,44.88,26.91,3256,19,1.31,3.6,23,146129.28,58510.32,3066,3256
P01250,Snacks,Product 1250,Brand A,24.23,4.93,4854,70,1.21,4.9,83,117612.42,93682.2,4764,4854
P01251,Snacks,Product 1251,Brand D,42.92,36.21,4821,70,4.7,3.1,59,206917.32,32348.91,4439,4821
P01252,Produce,Product 1252,Brand A,49.53,38.19,3683,32,4.69,4.2,51,182418.99,41765.22,3228,3683
P01253,Beverages,Product 1253,Brand D,19.44,9.87,1567,15,1.54,4.0,80,30462.48,14996.19,1266,1567
P01254,Produce,Product 1254,Brand A,8.67,14.26,3108,84,1.35,4.8,49,26946.36,-17373.72,2666,3108
P01255,Produce,Product 1255,Brand E,43.56,7.49,4022,69,2.84,4.8,23,175198.32,145073.54,3107,3180
P01256,Bakery,Product 1256,Brand A,22.26,10.7,1610,36,1.57,3.8,20,35838.6,18611.6,292,374
P01257,Produce,Product 1257,Brand B,30.97,10.27,2518,64,2.71,2.9,72,77982.46,52122.6,426,811
P01258,Dairy,Product 1258,Brand C,18.19,27.03,4231,40,3.9,4.8,58,76961.89,-37402.04,4220,4231
P01259,Beverages,Product 1259,Brand B,22.51,23.68,4767,39,2.45,2.9,46,107305.17,-5577.39,4297,4767
P01260,Bakery,Product 1260,Brand B,31.96,20.8,2745,76,0.51,2.9,19,87730.2,30634.2,762,1011
P01261,Bakery,Product 1261,Brand D,43.06,6.44,4572,22,2.71,4.3,63,196870.32,167426.64,4412,4572
P01262,Dairy,Product 1262,Brand A,14.82,32.99,5044,68,4.76,3.7,16,74752.08,-91649.48,4937,5044
P01263,Dairy,Product 1263,Brand D,19.44,25.0,4583,63,2.42,3.5,90,89093.52,-25481.48,4125,4583
P01264,Beverages,Product 1264,Brand D,5.94,7.31,4895,30,1.28,2.9,21,29076.3,-6706.15,4462,4895
P01265,Dairy,Product 1265,Brand C,48.5,7.35,4448,52,2.58,4.7,64,215728.0,183035.2,4357,4448
P01266,Beverages,Product 1266,Brand D,35.21,39.87,5114,20,3.2,2.6,45,180063.94,-23831.24,4873,5114
P01267,Bakery,Product 1267,Brand C,4.4,3.67,2452,76,2.17,4.3,16,10788.8,1789.96,985,1189
P01268,Beverages,Product 1268,Brand E,19.44,29.17,4467,47,3.85,4.1,33,86838.48,-43463.91,4053,4467
P01269,Frozen,Product 1269,Brand B,29.1,18.77,4807,33,2.95,4.8,43,139883.7,49656.31,2394,2710
P01270,Beverages,Product 1270,Brand C,27.91,2.55,3961,60,2.85,2.9,74,110551.51,100450.96,3567,3961
P01271,Produce,Product 1271,Brand C,47.07,14.15,4272,85,2.2,3.5,38,201083.04,140634.24,1132,1592
P01272,Beverages,Product 1272,Brand B,45.41,20.19,4494,70,5.0,4.7,35,204072.54,113338.68,1571,1929
P01273,Frozen,Product 1273,Brand C,35.48,35.92,2893,55,3.79,4.9,83,102643.64,-1272.92,2744,2893
P01274,Snacks,Product 1274,Brand C,4.57,4.52,4646,52,1.04,4.0,74,21232.22,232.3,4171,4646
P01275,Produce,Product 1275,Brand E,39.79,23.68,1510,36,2.85,2.6,54,60082.9,24326.1,1248,1510
P01276,Frozen,Product 1276,Brand D,21.56,35.13,306,94,3.4,3.6,26,6597.36,-4152.42,140,306
P01277,Dairy,Product 1277,Brand E,27.74,38.02,4237,98,0.58,4.9,45,117534.38,-43556.36,3856,4237
P01278,Produce,Product 1278,Brand A,49.53,32.08,3972,39,4.47,4.1,82,196733.16,69311.4,3856,3972
P01279,Frozen,Product 1279,Brand D,9.49,7.31,3952,72,2.01,3.6,72,37504.48,8615.36,3510,3952
P01280,Bakery,Product 1280,Brand B,39.04,5.54,3200,19,2.01,2.7,32,124928.0,107200.0,3066,3074
P01281,Beverages,Product 1281,Brand E,3.25,36.21,4231,12,3.43,3.2,75,13750.75,-139453.76,3896,4125
P01282,Snacks,Product 1282,Brand A,19.34,37.34,3450,86,0.54,4.9,91,66723.0,-62100.0,3380,3450
P01283,Produce,Product 1283,Brand A,35.35,2.73,3738,69,4.09,2.7,51,132138.3,121933.56,3547,3738
P01284,Dairy,Product 1284,Brand A,48.1,18.17,1847,36,2.4,3.7,80,88840.7,55280.71,184,346
P01285,Dairy,Product 1285,Brand D,27.27,20.8,4579,91,4.34,4.9,84,124869.33,29626.13,4402,4579
P01286,Snacks,Product 1286,Brand E,37.78,7.17,3610,54,4.47,4.9,80,136385.8,110502.1,3518,3558
P01287,Bakery,Product 1287,Brand B,23.96,25.07,4698,71,2.59,4.0,52,112564.08,-5214.78,4356,4698
P01288,Dairy,Product 1288,Brand C,3.22,22.3,4674,33,3.89,3.3,97,15050.28,-89179.92,4645,4674
P01289,Frozen,Product 1289,Brand E,35.48,6.44,2272,55,4.57,4.6,64,80610.56,65978.88,2263,2272
P01290,Produce,Product 1290,Brand C,21.56,34.71,4834,87,0.7,4.4,65,104221.04,-63567.1,4557,4834
P01291,Produce,Product 1291,Brand A,37.16,16.44,3764,53,2.26,4.6,88,139870.24,77990.08,3059,3347
P01292,Frozen,Product 1292,Brand C,19.16,22.3,3128,72,2.66,3.8,40,59932.48,-9821.92,2330,2402
P01293,Bakery,Product 1293,Brand E,5.96,11.14,3006,13,3.92,3.8,92,17915.76,-15571.08,2823,3006
P01294,Dairy,Product 1294,Brand A,38.13,18.77,3166,25,0.67,4.7,65,120719.58,61293.76,2739,3166
P01295,Produce,Product 1295,Brand B,29.6,14.35,1700,60,4.91,5.0,83,50320.0,25925.0,1130,1140
P01296,Produce,Product 1296,Brand C,48.1,19.94,2998,83,2.82,4.4,57,144203.8,84423.68,1030,1207
P01297,Produce,Product 1297,Brand A,3.76,15.07,5045,57,2.66,3.7,61,18969.2,-57058.95,4958,5045
P01298,Bakery,Product 1298,Brand A,15.0,7.68,2843,74,1.04,4.1,81,42645.0,20810.76,2759,2843
P01299,Bakery,Product 1299,Brand C,22.97,39.99,4464,78,1.84,4.0,10,102538.08,-75977.28,1921,2318
P01300,Produce,Product 1300,Brand D,4.57,5.27,3995,86,1.64,4.7,11,18257.15,-2796.5,3909,3995
P01301,Snacks,Product 1301,Brand A,49.35,4.0,4288,54,3.02,4.0,51,211612.8,194460.8,1693,1990
P01302,Beverages,Product 1302,Brand D,11.96,25.3,2754,12,4.47,3.3,83,32937.84,-36738.36,1220,1427
P01303,Produce,Product 1303,Brand C,39.79,16.71,2068,26,2.84,3.0,18,82285.72,47729.44,1781,2068
P01304,Dairy,Product 1304,Brand B,48.15,32.08,2568,92,3.4,3.3,40,123649.2,41267.76,2024,2133
P01305,Bakery,Product 1305,Brand C,4.4,39.3,2572,46,3.79,4.9,11,11316.8,-89762.8,2540,2572
P01306,Dairy,Product 1306,Brand B,16.65,39.99,5092,14,1.53,4.0,33,84781.8,-118847.28,4663,5092
P01307,Dairy,Product 1307,Brand A,4.62,8.91,3555,56,0.76,2.7,52,16424.1,-15250.95,3542,3555
P01308,Frozen,Product 1308,Brand C,37.78,35.68,3186,53,0.73,3.3,79,120367.08,6690.6,1307,1684
P01309,Frozen,Product 1309,Brand D,38.13,16.16,4694,97,1.75,4.1,81,178982.22,103127.18,1266,1675
P01310,Frozen,Product 1310,Brand D,23.45,8.1,1185,42,3.92,3.5,98,27788.25,18189.75,161,374
P01311,Frozen,Product 1311,Brand A,2.3,4.99,4408,30,4.92,4.2,52,10138.4,-11857.52,262,714
P01312,Dairy,Product 1312,Brand B,46.61,10.22,4865,76,0.7,3.3,60,226757.65,177037.35,4747,4865
P01313,Snacks,Product 1313,Brand D,1.89,3.5,4911,77,0.5,4.9,98,9281.79,-7906.71,1183,1289
P01314,Bakery,Product 1314,Brand E,37.87,19.64,925,41,3.3,2.6,55,35029.75,16862.75,338,353
P01315,Bakery,Product 1315,Brand A,4.84,25.0,3792,33,2.83,3.0,84,18353.28,-76446.72,2715,3035
P01316,Snacks,Product 1316,Brand E,18.19,30.06,3901,44,1.64,3.6,10,70959.19,-46304.87,2893,3106
P01317,Dairy,Product 1317,Brand D,14.81,15.99,4074,27,1.57,2.9,96,60335.94,-4807.32,3886,4074
P01318,Frozen,Product 1318,Brand D,2.24,11.5,2374,76,3.02,2.9,76,5317.76,-21983.24,2140,2374
P01319,Dairy,Product 1319,Brand C,16.68,38.19,3585,63,3.76,2.9,10,59797.8,-77113.35,3212,3585
P01320,Frozen,Product 1320,Brand B,48.75,27.32,3069,35,0.76,2.6,72,149613.75,65768.67,537,801
P01321,Frozen,Product 1321,Brand C,20.02,34.66,1774,69,0.7,2.6,85,35515.48,-25971.36,628,851
P01322,Snacks,Product 1322,Brand E,22.97,6.44,4798,97,2.82,3.6,71,110210.06,79310.94,204,662
P01323,Beverages,Product 1323,Brand C,23.27,23.8,4790,74,1.67,4.1,70,111463.3,-2538.7,4577,4790
P01324,Snacks,Product 1324,Brand D,48.15,34.71,4611,60,3.33,3.0,49,222019.65,61971.84,1338,1483
P01325,Dairy,Product 1325,Brand A,45.36,15.99,4081,69,2.66,3.8,38,185114.16,119858.97,4076,4081
P01326,Bakery,Product 1326,Brand E,35.48,24.44,2505,68,2.66,4.9,44,88877.4,27655.2,2364,2505
P01327,Bakery,Product 1327,Brand C,44.88,20.71,4023,85,1.08,2.5,94,180552.24,97235.91,250,271
P01328,Frozen,Product 1328,Brand D,44.88,11.44,3977,26,2.55,2.8,20,178487.76,132990.88,1893,2010
P01329,Beverages,Product 1329,Brand A,29.59,11.9,2891,94,4.76,3.8,99,85544.69,51141.79,730,1110
P01330,Beverages,Product 1330,Brand D,16.17,37.21,4732,30,2.85,2.7,20,76516.44,-99561.28,4617,4732
P01331,Bakery,Product 1331,Brand C,37.56,23.05,4885,76,3.8,3.1,72,183480.6,70881.35,4841,4885
P01332,Snacks,Product 1332,Brand A,45.16,27.03,2271,37,0.52,3.6,78,102558.36,41173.23,2067,2271
P01333,Snacks,Product 1333,Brand A,37.97,5.98,1276,98,4.48,4.6,65,48449.72,40819.24,306,779
P01334,Frozen,Product 1334,Brand E,35.61,19.96,3231,53,4.76,3.4,16,115055.91,50565.15,2922,3231
P01335,Beverages,Product 1335,Brand D,4.62,39.47,4426,79,1.91,4.0,60,20448.12,-154246.1,933,1345
P01336,Snacks,Product 1336,Brand E,40.83,34.69,4195,71,3.15,4.1,48,171281.85,25757.3,3873,4195
P01337,Snacks,Product 1337,Brand C,35.61,17.02,4246,51,4.39,4.3,51,151200.06,78933.14,3841,4246
P01338,Bakery,Product 1338,Brand C,45.36,14.84,3860,31,2.31,4.1,81,175089.6,117807.2,1600,1961
P01339,Frozen,Product 1339,Brand B,34.47,23.08,2861,47,4.24,3.5,62,98618.67,32586.79,2735,2861
P01340,Bakery,Product 1340,Brand C,14.81,14.89,4541,23,3.37,3.1,30,67252.21,-363.28,4421,4541
P01341,Bakery,Product 1341,Brand D,2.3,30.03,1117,35,2.55,4.3,39,2569.1,-30974.41,903,1117
P01342,Bakery,Product 1342,Brand B,14.72,18.64,2994,49,4.24,3.4,87,44071.68,-11736.48,1957,2270
P01343,Snacks,Product 1343,Brand A,29.1,27.03,3558,63,3.51,4.2,10,103537.8,7365.06,3247,3558
P01344,Produce,Product 1344,Brand D,2.14,21.22,4841,22,0.5,3.6,33,10359.74,-92366.28,4711,4841
P01345,Snacks,Product 1345,Brand A,21.04,2.05,4581,28,4.81,3.0,15,96384.24,86993.19,1946,2040
P01346,Dairy,Product 1346,Brand B,36.58,23.68,4447,51,0.7,2.9,15,162671.26,57366.3,4382,4447
P01347,Beverages,Product 1347,Brand C,31.39,11.5,4185,50,2.63,4.7,78,131367.15,83239.65,3819,4185
P01348,Produce,Product 1348,Brand A,16.65,9.87,4339,59,2.95,4.0,71,72244.35,29418.42,4134,4339
P01349,Bakery,Product 1349,Brand B,37.92,34.66,3073,12,0.7,3.3,44,116528.16,10017.98,2686,3073
P01350,Frozen,Product 1350,Brand B,6.79,9.53,5030,40,3.37,3.7,88,34153.7,-13782.2,4843,5030
P01351,Bakery,Product 1351,Brand C,25.65,2.73,2518,85,1.02,4.0,44,64586.7,57712.56,2165,2377
P01352,Beverages,Product 1352,Brand D,39.04,9.99,4671,24,0.99,2.9,57,182355.84,135692.55,4480,4671
P01353,Produce,Product 1353,Brand A,35.61,39.3,3340,63,1.21,3.1,81,118937.4,-12324.6,3079,3340
P01354,Dairy,Product 1354,Brand A,3.23,39.3,4449,62,0.99,4.9,52,14370.27,-160475.43,4070,4392
P01355,Snacks,Product 1355,Brand C,13.26,2.73,4016,54,4.05,3.1,44,53252.16,42288.48,3052,3142
P01356,Bakery,Product 1356,Brand B,49.32,16.16,5090,47,1.6,2.7,14,251038.8,168784.4,4845,5090
P01357,Bakery,Product 1357,Brand E,41.96,14.26,1819,87,2.56,2.6,40,76325.24,50386.3,1342,1819
P01358,Dairy,Product 1358,Brand C,11.96,38.02,3193,89,3.48,4.1,40,38188.28,-83209.58,2791,3193
P01359,Bakery,Product 1359,Brand C,19.44,32.61,4738,59,3.17,3.4,17,92106.72,-62399.46,2067,2460
P01360,Bakery,Product 1360,Brand C,21.56,23.46,4123,33,2.38,4.6,15,88891.88,-7833.7,2504,2654
P01361,Frozen,Product 1361,Brand B,5.79,1.54,3837,26,2.29,3.3,96,22216.23,16307.25,355,767
P01362,Bakery,Product 1362,Brand B,5.63,23.8,3199,27,2.56,4.6,62,18010.37,-58125.83,2755,3199
P01363,Dairy,Product 1363,Brand A,48.52,1.54,2328,51,2.63,4.1,89,112954.56,109369.44,1936,2076
P01364,Dairy,Product 1364,Brand B,35.14,35.86,1051,26,3.81,2.6,53,36932.14,-756.72,278,571
P01365,Bakery,Product 1365,Brand E,3.11,9.53,4749,25,1.35,4.3,58,14769.39,-30488.58,4283,4749
P01366,Snacks,Product 1366,Brand D,19.23,6.85,3685,94,0.79,2.6,17,70862.55,45620.3,3566,3685
P01367,Produce,Product 1367,Brand A,22.26,22.44,1660,97,4.54,2.9,73,36951.6,-298.8,127,374
P01368,Beverages,Product 1368,Brand A,28.14,6.44,2942,61,1.6,2.8,13,82787.88,63841.4,2844,2942
P01369,Produce,Product 1369,Brand A,40.83,15.4,3187,45,3.19,3.7,41,130125.21,81045.41,153,323
P01370,Produce,Product 1370,Brand E,38.31,32.08,4041,48,2.83,3.6,62,154810.71,25175.43,420,730
P01371,Produce,Product 1371,Brand D,13.26,15.99,4156,90,3.51,4.9,76,55108.56,-11345.88,3730,4156
P01372,Beverages,Product 1372,Brand B,45.16,25.0,3783,34,3.41,4.2,72,170840.28,76265.28,3405,3783
P01373,Dairy,Product 1373,Brand A,32.48,13.44,4275,51,3.3,4.9,89,138852.0,81396.0,3924,3991
P01374,Produce,Product 1374,Brand A,39.79,6.85,3082,30,3.54,4.7,69,122632.78,101521.08,431,487
P01375,Produce,Product 1375,Brand B,47.55,5.23,2863,77,1.35,3.8,86,136135.65,121162.16,1817,1863
P01376,Frozen,Product 1376,Brand A,32.81,11.3,3648,98,3.48,4.0,42,119690.88,78468.48,3643,3648
P01377,Dairy,Product 1377,Brand B,14.59,24.92,3953,68,4.57,4.9,31,57674.27,-40834.49,416,472
P01378,Beverages,Product 1378,Brand B,35.61,18.64,3802,39,3.43,4.4,40,135389.22,64519.94,3651,3802
P01379,Produce,Product 1379,Brand B,6.76,25.0,4109,66,0.66,2.8,33,27776.84,-74948.16,3008,3326
P01380,Frozen,Product 1380,Brand E,14.81,25.07,3158,42,3.19,4.4,12,46769.98,-32401.08,3017,3158
P01381,Produce,Product 1381,Brand C,31.82,5.98,4731,99,3.37,2.9,42,150540.42,122249.04,4416,4731
P01382,Dairy,Product 1382,Brand D,29.6,36.87,4944,98,3.48,3.6,35,146342.4,-35942.88,1462,1934
P01383,Beverages,Product 1383,Brand E,3.22,7.49,3560,62,1.06,4.0,60,11463.2,-15201.2,247,531
P01384,Produce,Product 1384,Brand C,27.91,3.67,2386,25,2.26,3.6,95,66593.26,57836.64,1832,2297
P01385,Dairy,Product 1385,Brand B,45.23,3.67,3373,58,3.79,3.7,39,152560.79,140181.88,2728,2734
P01386,Bakery,Product 1386,Brand B,49.66,31.01,4862,97,4.54,4.1,44,241446.92,90676.3,4673,4862
P01387,Dairy,Product 1387,Brand A,5.09,32.34,4435,14,2.23,3.3,34,22574.15,-120853.75,4118,4435
P01388,Snacks,Product 1388,Brand D,5.94,16.71,4567,86,4.28,4.6,37,27127.98,-49186.59,1309,1528
P01389,Beverages,Product 1389,Brand B,40.37,35.92,743,69,0.54,4.2,96,29994.91,3306.35,269,442
P01390,Frozen,Product 1390,Brand E,33.28,21.52,4851,80,3.85,2.8,35,161441.28,57047.76,1667,1760
P01391,Snacks,Product 1391,Brand D,30.97,7.68,4508,90,3.62,4.6,82,139612.76,104991.32,4496,4508
P01392,Dairy,Product 1392,Brand E,11.96,3.73,3759,64,3.17,3.1,17,44957.64,30936.57,3535,3698
P01393,Beverages,Product 1393,Brand A,25.23,7.68,2820,44,3.63,3.1,24,71148.6,49491.0,1977,2295
P01394,Produce,Product 1394,Brand D,15.0,35.86,4520,78,4.69,4.6,58,67800.0,-94287.2,4152,4520
P01395,Frozen,Product 1395,Brand A,5.94,13.22,4525,51,4.47,3.9,17,26878.5,-32942.0,3135,3140
P01396,Frozen,Product 1396,Brand C,47.07,10.08,4259,78,3.2,2.6,64,200471.13,157540.41,3348,3414
P01397,Frozen,Product 1397,Brand A,24.2,2.29,4176,33,0.76,2.8,94,101059.2,91496.16,3973,4176
P01398,Produce,Product 1398,Brand B,19.92,7.87,2615,80,4.46,4.8,67,52090.8,31510.75,2291,2615
P01399,Produce,Product 1399,Brand C,8.01,37.21,1946,80,0.74,3.1,12,15587.46,-56823.2,622,964
P01400,Dairy,Product 1400,Brand D,41.27,23.46,3845,64,3.0,2.5,18,158683.15,68479.45,3652,3845
P01401,Produce,Product 1401,Brand E,3.82,20.38,3171,23,2.32,4.3,23,12113.22,-52511.76,2806,3171
P01402,Bakery,Product 1402,Brand A,47.57,24.92,4238,64,0.72,2.6,29,201601.66,95990.7,2632,3002
P01403,Beverages,Product 1403,Brand D,32.52,16.44,1565,24,4.98,3.1,13,50893.8,25165.2,921,1257
P01404,Produce,Product 1404,Brand A,25.65,24.43,3674,14,3.41,3.5,33,94238.1,4482.28,3608,3674
P01405,Beverages,Product 1405,Brand D,35.35,7.49,542,13,4.96,3.4,85,19159.7,15100.12,294,463
P01406,Frozen,Product 1406,Brand D,24.23,39.3,3086,39,2.58,3.3,37,74773.78,-46506.02,565,720
P01407,Frozen,Product 1407,Brand E,49.53,10.69,3201,93,3.63,4.0,97,158545.53,124326.84,3125,3201
P01408,Produce,Product 1408,Brand A,30.97,5.6,3508,62,4.41,2.8,40,108642.76,88997.96,3247,3508
P01409,Frozen,Product 1409,Brand D,49.66,8.77,4285,99,0.73,3.9,76,212793.1,175213.65,2637,2770
P01410,Snacks,Product 1410,Brand B,36.02,8.91,4239,82,2.26,3.5,73,152688.78,114919.29,199,541
P01411,Produce,Product 1411,Brand D,41.27,5.79,625,39,4.57,4.3,26,25793.75,22175.0,215,356
P01412,Frozen,Product 1412,Brand C,47.57,31.67,4911,95,2.51,2.9,15,233616.27,78084.9,4575,4911
P01413,Bakery,Product 1413,Brand A,10.59,32.64,3393,93,2.31,4.0,91,35931.87,-74815.65,2971,3317
P01414,Frozen,Product 1414,Brand E,31.82,21.72,2709,70,2.26,4.3,69,86200.38,27360.9,2210,2709
P01415,Dairy,Product 1415,Brand A,48.2,32.61,1508,80,2.23,4.5,90,72685.6,23509.72,1371,1508
P01416,Beverages,Product 1416,Brand D,44.5,35.01,4729,77,4.69,3.7,20,210440.5,44878.21,2790,2966
P01417,Dairy,Product 1417,Brand D,19.44,39.5,1822,64,0.5,3.7,47,35419.68,-36549.32,1534,1822
P01418,Snacks,Product 1418,Brand C,44.88,38.79,2690,80,3.54,3.4,43,120727.2,16382.1,2002,2341
P01419,Bakery,Product 1419,Brand A,38.31,32.61,3159,82,2.65,2.7,56,121021.29,18006.3,3123,3159
P01420,Produce,Product 1420,Brand E,10.22,23.68,3351,51,2.56,3.3,41,34247.22,-45104.46,2875,3351
P01421,Bakery,Product 1421,Brand A,5.96,35.01,2836,86,4.34,3.8,66,16902.56,-82385.8,2693,2836
